,Speed (mm/s),Pressure (psi),Material,Thivex,Time Period,Batches,Radius,Line Shape,Needle Size,Needle dia (um),AreaA1 (mm2),FlowQ1 (mm3/s),ShearS1 (1/s),ViscosN1 (PaS),Width (um)
0,30,65,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
6,40,65,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
12,50,65,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
18,20,75,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
24,30,75,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
30,40,75,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
36,50,75,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
42,20,85,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
48,30,85,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
54,40,85,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
60,50,85,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
66,20,95,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
72,30,95,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
78,40,95,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
84,50,95,DS10,0%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
90,20,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
96,30,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
102,40,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
108,50,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
114,20,75,DS10,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
120,30,75,DS10,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
126,40,75,DS10,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
